,category,city,geo,job_title,job_type,salary_offered,state,STATE_NAME
2545,Management and Commerce,Sydney,AU,Process Work,Full Time,160947.12263099218,NSW,New South Wales
2546,Engineering,"Kalgoorlie, Goldfields & Esperance",AU,EOI: Statutory Shift Supervisor,Full Time,105640.70786516853,WA,Western Australia
2547,Education,Sydney,AU,Travel and Expense Manager,Full Time,95027.0208,NSW,New South Wales
2548,Agriculture and Environment,Riverland & Murray Mallee,AU,Irrigation Manager,Full Time,70804.125,VIC,Victoria
2549,Health,Brisbane,AU,Pharmacist - Full Time - Carseldine,Full Time,99058.5219250646,QLD,Queensland
2550,Management and Commerce,"Newcastle, Maitland & Hunter",AU,"Roof Plumber, Newcastle NSW",Full Time,65715.15306289308,NSW,New South Wales
2551,Management and Commerce,Sydney,AU,Audit Assistant,Full Time,94007.92065263158,NSW,New South Wales
2552,Management and Commerce,Melbourne,AU,WELDER/FACTORY HAND,Full Time,65715.15306289308,VIC,Victoria
2553,Management and Commerce,Sydney,AU,Receptionist - North Sydney,Full Time,67981.82723756906,NSW,New South Wales
2554,Education,Melbourne,AU,Curriculum and Learning Specialist - Humanities,Full Time,95027.0208,VIC,Victoria
2555,Management and Commerce,Sydney,AU,Property Manager - Lane Cove Area,Full Time,85000.0,NSW,New South Wales
2556,Engineering,Albany & Great Southern,AU,Maintenance Planner,Full Time,105640.70786516853,WA,Western Australia
2557,Management and Commerce,Perth,AU,Business Manager,Full Time,94007.92065263158,WA,Western Australia
2558,Management and Commerce,Sydney,AU,Finance Manager - Parramatta,Full Time,94007.92065263158,NSW,New South Wales
2559,Information Technology,Melbourne,AU,Product Manager,Full Time,108194.06286549706,VIC,Victoria
2560,Food and Hospitality,Sydney,AU,"Venue Manager @ Smoke, Barangaroo House",Full Time,57822.070994764406,NSW,New South Wales
2561,Management and Commerce,Melbourne,AU,Roof Plumbers & Apprentices,Full Time,44599.5,VIC,Victoria
2562,Management and Commerce,Melbourne,AU,Technical Business Development Manager â€“ Scaffolding Hire,Full Time,93566.96469366565,VIC,Victoria
2563,Management and Commerce,Melbourne,AU,Owners Corporation - Personal Assistant,Full Time,94900.0,VIC,Victoria
